Футбол. Россия. Премьер-Лига
2020-07-01;20:30:00;Хапоэль Хайфа;Маккаби Хайфа;4.5;3.75;1.68
2020-07-01;21:00:00;Маккаби Тель-Авив;Бейтар Иерусалим;1.68;3.5;4.9
2020-07-01;20:15:00;Хапоэль Раанана;Бней Йегуда;5.3;3.9;1.57
2020-07-02;20:15:00;Ашдод;Хапоэль Эран Хадера;2.25;3.4;2.9
2020-07-02;20:15:00;Хапоэль Ирони Кирьят-Шмона;Секция Нес-Циона;2.3;3.1;3.1
2020-07-02;20:15:00;Маккаби Нетания;Хапоэль Кфар-Саба;2.1;3.3;3.3
Футбол. Молдова. Кубок. Кишинев. Финал
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;21:00:00;Сфынтул Георге;Петрокуб;2.7;3.35;2.4
Футбол. Норвегия. Суперлига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-01;19:00:00;Хогесунд;Старт;1.87;3.8;3.9
2020-07-01;19:00:00;Одд-Гренланд;Боде/Глимт;3.0;3.6;2.25
2020-07-01;19:00:00;Стабек;Стремсгодсет;2.0;3.6;3.6
2020-07-01;19:00:00;Викинг;Сандефьорд;1.8;3.8;4.3
2020-07-01;21:30:00;Русенборг;Волеренга;1.8;3.9;4.1
2020-07-02;19:00:00;Кристиансунд БК;Мольде;3.9;3.8;1.87
2020-07-02;21:30:00;Сарпсборг 08;Бранн;2.6;3.35;2.7
Футбол. Норвегия. 1-й дивизион
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-07-03;19:00:00;Осане;Сондаль;3.9;3.5;1.85
2020-07-03;19:00:00;Гроруд;Лиллестрем;5.9;3.9;1.53
2020-07-03;19:00:00;КФУМ Осло;Ерв Гримстад;2.2;3.3;3.1
2020-07-03;19:00:00;Санднес;Эйгарден;1.8;3.5;4.2
2020-07-03;19:00:00;Стьордалс-Блинк;Ранхейм;3.1;3.4;2.15
2020-07-03;19:00:00;Тромсе;Рауфосс;1.5;3.8;6.5
2020-07-03;19:00:00;Улленсакер/Киса;Строммен;1.95;3.5;3.6
2020-07-03;21:30:00;Хамаркамератене;Конгсвингер;2.6;3.3;2.52
Футбол. Польша. 1-я лига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;16:00:00;Одра Ополе;Хойничанка Хойницы;2.0;3.4;3.5
2020-06-30;17:00:00;Сандецья Новы-Сонч;Заглембе Сосновец;2.2;3.3;3.1
2020-06-30;18:40:00;Варта Познань;Хробры Глогув;1.57;4.1;5.0
2020-06-30;21:40:00;Ястшембе;Сталь Мелец;3.3;3.4;2.05
2020-07-01;18:40:00;Пуща Неполомице;Медзь Легница;2.9;3.35;2.3
2020-07-01;21:40:00;ГКС Тыхы;Ницеча;2.3;3.35;2.9
2020-07-02;16:00:00;Радомяк Радом;Вигры Сувалки;1.37;4.55;7.5
2020-07-02;19:10:00;Белхатув;Подбескидже Б-Б;4.45;3.65;1.72
2020-07-02;21:40:00;ОКС Стомиль Ольштын;Олимпия Грудзендз;2.0;3.35;3.5
Футбол. Румыния. Суперлига
Дата;Время;Команда 1;Команда 2;1;Х;2
2020-06-30;20:00:00;Политехника Яссы;Германштадт;2.05;3.45;3.6
2020-07-01;17:00:00;Академика Клинчени;Шепши Сфынту Георге;2.85;3.2;2.55
